year,PRCP,RD,Tmean,Tmin,Tmax,Tvar,FD,HD,GDD,Heat_Stress,Cold_Stress,Maize_sown_area,Maize_production,Maize_avg_yield,Yield_computed
1978,1154.62,167.4,9.528767123287672,5.349095890410959,14.22964383561644,8.88054794520548,93.2,7.4,2303.68,0.0,177.4,1283498,6580707,5130,5.1271657610685795
1979,1159.8200000000002,177.6,10.624657534246577,6.223397260273972,15.586958904109588,9.363561643835617,68.8,31.8,2817.56,2.0,142.0,1352093,7306758,5400,5.404035077468784
1980,1346.48,185.4,9.196775956284151,5.061038251366121,13.91846994535519,8.857431693989069,104.8,12.6,2328.82,0.0,184.6,1228941,6535221,5320,5.31776627193657
1981,1182.58,160.4,10.503287671232878,6.09227397260274,15.503013698630138,9.410739726027398,108.2,33.8,2948.34,2.0,177.0,1162537,6812573,5860,5.860091334727411
1982,1043.94,144.2,10.547780821917808,6.264876712328767,15.440328767123289,9.17545205479452,94.6,29.6,3075.42,0.0,164.6,1130194,7751643,6860,6.858683553443037
1983,912.32,135.2,11.065205479452056,6.3035068493150685,16.471068493150685,10.167561643835615,94.0,53.4,3189.88,2.75,168.2,1102065,6255514,5680,5.6761751802298415
1984,1194.78,179.0,10.02863387978142,5.806830601092896,14.838743169398906,9.03191256830601,94.8,21.0,2585.6400000000003,2.0,181.2,1107123,6514135,5880,5.8838403682337015
1985,1159.98,177.4,9.516986301369863,5.121369863013699,14.503342465753423,9.381972602739726,112.4,39.2,2773.88,2.0,171.0,1053066,6618686,6290,6.285157815369597
1986,898.1600000000001,141.4,10.261753424657536,5.607397260273973,15.398630136986302,9.791232876712328,122.4,48.2,3100.94,0.0,204.2,1118383,7028845,6280,6.284828184977776
1987,1156.04,175.6,9.90241095890411,5.507945205479452,14.769315068493151,9.261369863013698,130.6,40.4,2899.1600000000003,5.333333333333333,173.8,1143764,7007038,6130,6.126297033304073
1988,1057.9,159.4,10.521420765027322,6.131092896174863,15.579836065573772,9.44874316939891,71.0,52.6,2911.86,8.5,178.4,1103120,5897874,5660,5.346538907825078
1989,1154.5,147.4,11.04,6.835342465753425,16.031945205479452,9.196602739726028,100.2,26.0,2917.22,0.0,157.2,1084622,6641288,6440,6.123135986546465
1990,918.04,143.8,11.11791780821918,6.291342465753425,16.71758904109589,10.426246575342466,59.4,45.8,2795.98,0.0,136.0,1147563,4257731,4090,3.7102372593051536
1991,1227.86,150.8,9.914027397260272,5.793315068493151,14.902739726027397,9.109424657534246,114.0,36.8,2771.92,4.0,181.6,1106437,7744609,6710,6.999593289089211
1992,954.9,131.8,11.353879781420764,6.648743169398907,16.713224043715847,10.06448087431694,74.0,74.0,3323.84,20.0,157.4,1199694,4404906,3650,3.6716912812767255
1993,1043.38,170.6,10.402520547945205,5.861972602739726,15.600164383561644,9.738191780821918,124.8,51.4,3145.68,4.5,206.4,1195261,4044455,3500,3.3837421282882985
1994,973.1,159.6,11.779068493150683,7.157095890410959,17.054191780821917,9.897095890410958,58.6,81.2,3338.24,9.0,127.6,1264050,4761201,3850,3.766623946837546
